#,Actor,Action,Object
1,Applicant,Submit,Application
2,Applicant,Modify,Application
3,Staff Member,Assign,Application
4,Staff Member,Apply,Hold
5,Staff Member,Remove,Hold
6,Customer,Request,Inspection
7,Inspection Staff Member,Create,Inspection
8,Inspection Staff Supervisor,Assign,Inspection
9,Inspector,Conduct,Inspection
10,Zoning Staff Member,Issue,Permit
11,Development Staff Member,Issue,Permit
12,Applicant,Request,Plan Review
13,Plan Review Staff Member,Conduct,Plan Review
14,Plan Review Staff Member,Track,Plan Review
15,Plan Review Staff Member,Assign,Plan
16,Plan Review Staff Member,Review,Plan
17,Applicant,Resubmit,Plan
18,Plan Review Staff Supervisor,Manage,Workload
19,Inspection Supervisor,Manage,Workload
