| # | Actor | Action | Object |
| 1 | User | Search | Music |
| 2 | User | Search | Music |
| 3 | User | Search | Music |
| 4 | User | Search | Music |
| 5 | User | Search | Content Item |
| 6 | User | Search | Content Item |
| 7 | User | Get | Video Item |
| 8 | User | Get | Video Item |
| 9 | User | Receive | Content Recommendation |
| 10 | User | Receive | Content Recommendation |
| 11 | Admin | Prefilter | Content |
| 12 | Admin | Prefilter | Content |
| 13 | Zooniverse Admin | Detect | Volunteer |
| 14 | Zooniverse Admin | Know | Volunteer |
| 15 | Zooniverse Admin | Know | Volunteer |
| 16 | Zooniverse Admin | Know | Volunteer |
| 17 | Zooniverse Admin | Know | Volunteer |
