#,Actor,Action,Object
1,Depositor,Allow,Access
2,External Collaborator,Gain,Access
3,Data Reuser,Search,Archive
4,Data Reuser,Search,Archive
5,Bath Data Archive Administrator,Query,Archive
6,Research Information Manager,Integrate,Archive
7,UnivITservice,Integrate,Archive
8,Depositor,Track,Citation
9,Data Reuser,View,Citation
10,Depositor,Link,Data
11,External Coordinator,Access,Data
12,Research Facility Manager,Deposit,Data
13,Bath Data Archive Administrator,Import,Data
14,UnivITservice,Store,Data
15,UnivITservice,Store,Data
16,UnivITservice,Export,Data
17,Depositor,Deposit,Dataset
18,Depositor,Deposit,Dataset
19,Depositor,Deposit,Dataset
20,Depositor,Link,Dataset
21,Depositor,Link,Dataset
22,Research Information Manager,Have,Dataset
23,Developer,Deposit,Dataset
24,Depositor,Mint,Doi
25,Data Reuser,View,Doi
26,Depositor,Deposit,File
27,Depositor,Deposit,File
28,Data Reuser,Examine,File
29,Depositor,Have,Guarantee
30,External Coordinator,Have,Guarantee
31,Depositor,Have,Metadata
32,Depositor,Attach,Metadata
33,Bath Data Archive Administrator,Require,Metadata
34,Fundingbody,Harvest,Metadata
35,Depositor,Manage,Version
36,Data Reuser,See,Version
